Start             End               Sif   SrcIPaddress    SrcP  DIf   DstIPaddress    DstP    P Fl Pkts       Octets
0410.21:47:50.750 0410.21:47:50.769 0     192.168.0.36    47313 0     192.168.0.1     53    17  0  1          61        
0410.21:47:50.759 0410.21:47:50.774 0     192.168.0.1     53    0     192.168.0.36    14910 17  0  1          134       
0410.21:47:50.759 0410.21:47:50.774 0     192.168.0.36    14910 0     192.168.0.1     53    17  0  1          61        
0410.21:47:50.795 0410.21:47:50.813 0     192.168.0.1     53    0     192.168.0.36    45532 17  0  1          122       
0410.21:47:50.795 0410.21:47:50.813 0     192.168.0.36    45532 0     192.168.0.1     53    17  0  1          61        
0410.21:47:50.797 0410.21:47:50.829 0     192.168.0.1     53    0     192.168.0.36    11156 17  0  1          134       
0410.21:47:50.797 0410.21:47:50.829 0     192.168.0.36    11156 0     192.168.0.1     53    17  0  1          61        
0410.21:47:43.596 0410.21:47:51.582 0     34.107.221.82   80    0     192.168.0.36    56914 6   3  6          752       
0410.21:47:43.596 0410.21:47:51.582 0     192.168.0.36    56914 0     34.107.221.82   80    6   3  8          1012      
0410.21:47:46.633 0410.21:47:51.630 0     128.230.247.70  80    0     192.168.0.36    50552 6   3  4          730       
0410.21:47:46.633 0410.21:47:51.630 0     192.168.0.36    50552 0     128.230.247.70  80    6   3  6          652       
0410.21:47:48.149 0410.21:47:51.567 0     34.120.5.221    443   0     192.168.0.36    59424 6   3  21         10212     
0410.21:47:48.149 0410.21:47:51.567 0     192.168.0.36    59424 0     34.120.5.221    443   6   3  25         2644      
0410.21:47:48.475 0410.21:47:51.566 0     23.55.241.138   80    0     192.168.0.36    54452 6   3  4          1105      
0410.21:47:48.475 0410.21:47:51.566 0     192.168.0.36    54452 0     23.55.241.138   80    6   3  6          756       
0410.21:47:48.476 0410.21:47:51.555 0     23.55.241.138   80    0     192.168.0.36    54454 6   3  4          1105      
0410.21:47:48.476 0410.21:47:51.555 0     192.168.0.36    54454 0     23.55.241.138   80    6   3  6          756       
0410.21:47:50.779 0410.21:47:51.537 0     18.238.85.36    443   0     192.168.0.36    44888 6   3  13         6843      
0410.21:47:50.779 0410.21:47:51.537 0     192.168.0.36    44888 0     18.238.85.36    443   6   3  15         1690      
0410.21:47:50.780 0410.21:47:51.554 0     172.217.14.74   443   0     192.168.0.36    51376 6   3  12         5635      
0410.21:47:50.780 0410.21:47:51.554 0     192.168.0.36    51376 0     172.217.14.74   443   6   3  15         1690      
0410.21:47:50.835 0410.21:47:51.255 0     18.238.85.36    443   0     192.168.0.36    44892 6   3  11         6701      
0410.21:47:50.835 0410.21:47:51.255 0     192.168.0.36    44892 0     18.238.85.36    443   6   3  14         1571      
0410.21:47:51.023 0410.21:47:51.182 0     192.168.0.1     53    0     192.168.0.36    9258  17  0  1          107       
0410.21:47:51.023 0410.21:47:51.182 0     192.168.0.36    9258  0     192.168.0.1     53    17  0  1          61        
0410.21:47:51.025 0410.21:47:51.185 0     192.168.0.1     53    0     192.168.0.36    51164 17  0  1          136       
0410.21:47:51.025 0410.21:47:51.185 0     192.168.0.36    51164 0     192.168.0.1     53    17  0  1          61        
0410.21:47:51.203 0410.21:47:51.223 0     192.168.0.1     53    0     192.168.0.36    2797  17  0  1          110       
0410.21:47:51.203 0410.21:47:51.223 0     192.168.0.36    2797  0     192.168.0.1     53    17  0  1          59        
0410.21:47:51.203 0410.21:47:51.223 0     192.168.0.1     53    0     192.168.0.36    59056 17  0  1          122       
0410.21:47:51.203 0410.21:47:51.223 0     192.168.0.36    59056 0     192.168.0.1     53    17  0  1          59        
0410.21:47:51.236 0410.21:47:51.525 0     142.250.188.227 80    0     192.168.0.36    51464 6   3  5          970       
0410.21:47:51.236 0410.21:47:51.525 0     192.168.0.36    51464 0     142.250.188.227 80    6   3  6          760       
0410.21:47:51.286 0410.21:47:51.311 0     192.168.0.1     53    0     192.168.0.36    58732 17  0  1          130       
